day,on_frac,q_unknown_map,q_true
4.102083683013916016e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.105556011199951172e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.109027862548828125e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.112500190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.115972995758056641e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.119444370269775391e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.122916698455810547e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.126389503479003906e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.129861354827880859e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.133333683013916016e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.136806011199951172e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.140277862548828125e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.143750190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.147222995758056641e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.150694370269775391e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.154166698455810547e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.157639503479003906e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.161111354827880859e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.164583683013916016e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.168056011199951172e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.171527862548828125e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.175000190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.178472995758056641e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.181944370269775391e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.185416698455810547e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.188889503479003906e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.192361354827880859e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.195833683013916016e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.199306011199951172e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.202777862548828125e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.206250190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.209722995758056641e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.213194370269775391e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.216666698455810547e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.220139503479003906e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.223611354827880859e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.227083683013916016e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.230556011199951172e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.234027862548828125e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.237500190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.240972995758056641e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.244444370269775391e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.247916698455810547e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.251389503479003906e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.254861354827880859e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.258333683013916016e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.261806011199951172e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.265278339385986328e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.268750190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.272222518920898438e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.275694847106933594e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.279166698455810547e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.282639026641845703e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.286111354827880859e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.289583683013916016e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.293056011199951172e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.296528339385986328e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.300000190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.303472518920898438e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.306944847106933594e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.310416698455810547e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.313889026641845703e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.317361354827880859e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.320833683013916016e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.324306011199951172e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.327778339385986328e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.331250190734863281e+00,-2.000000029802322388e-01,-1.435574173927307129e+00,-1.800000071525573730e+00
4.334722518920898438e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
4.338194847106933594e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
4.341666698455810547e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
4.345139026641845703e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
4.348611354827880859e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
4.352083683013916016e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
4.355556011199951172e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
4.359028339385986328e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
4.362500190734863281e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
4.365972518920898438e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
4.369444847106933594e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
4.372916698455810547e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
4.376389026641845703e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
4.379861354827880859e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
4.383333683013916016e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
4.386806011199951172e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
4.390278339385986328e+00,-8.000000119209289551e-01,-5.742296695709228516e+00,-7.200000286102294922e+00
4.393750190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.397222518920898438e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.400694847106933594e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.404166698455810547e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.407639026641845703e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.411111354827880859e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.414583683013916016e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.418056011199951172e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
